job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000231,00231,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,60,40,0.092
EP_CP_P1201_000000232,00232,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,50,50,0.3
EP_CP_P1201_000000233,00233,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,50,50,0.226
EP_CP_P1201_000000234,00234,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,50,50,0.143
EP_CP_P1201_000000235,00235,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,50,50,0.099
EP_CP_P1201_000000236,00236,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,50,40,0.296
EP_CP_P1201_000000237,00237,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,50,40,0.22
EP_CP_P1201_000000238,00238,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,50,40,0.135
EP_CP_P1201_000000239,00239,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,50,40,0.091
EP_CP_P1201_000000240,00240,CP_P1201,GTW_DSY1,45.0,Ground_Floor,1,90,90,0.331
EP_CP_P1201_000000241,00241,CP_P1201,GTW_DSY1,45.0,Ground_Floor,2,90,90,0.261
EP_CP_P1201_000000242,00242,CP_P1201,GTW_DSY1,45.0,Ground_Floor,4,90,90,0.176
EP_CP_P1201_000000243,00243,CP_P1201,GTW_DSY1,45.0,Ground_Floor,8,90,90,0.136
EP_CP_P1201_000000244,00244,CP_P1201,GTW_DSY1,45.0,Ground_Floor,1,90,80,0.325
EP_CP_P1201_000000245,00245,CP_P1201,GTW_DSY1,45.0,Ground_Floor,2,90,80,0.25
EP_CP_P1201_000000246,00246,CP_P1201,GTW_DSY1,45.0,Ground_Floor,4,90,80,0.162
EP_CP_P1201_000000247,00247,CP_P1201,GTW_DSY1,45.0,Ground_Floor,8,90,80,0.122
EP_CP_P1201_000000248,00248,CP_P1201,GTW_DSY1,45.0,Ground_Floor,1,90,70,0.318
